id|name
53|Vegan
23|South American
39|Local Cuisine
13|Japanese
21|Nordic/Scandinavian
50|Caribbean
18|Middle Eastern
54|Modern European
27|Thai
20|Moroccan
24|Spanish
12|Italian
16|Mediterranean
15|Lebanese
14|Korean
11|Indian
10|Greek
22|North American
9|Gastropub
8|French
7|Fish/seafood
6|European
5|Chinese
29|Vietnamese
4|British
40|Japanese BBQ
2|Asian fusion
25|Steak
51|German
48|Peruvian
28|Vegetarian
3|Barbecue
17|Mexican
42|Teppanyaki
44|Tempura
49|Sushi
41|Japanese Fusion
43|Bar and Lounge
