id|member_id|author_id|hot_table_id|status|created
32|4597015|279|46|draft|2018-03-27 09:38:26.523909+00:00
33|4597015|279|44|draft|2018-03-27 16:07:45.412063+00:00
34|4597015|279|44|draft|2018-03-27 16:07:53.907651+00:00
3|4562432|33|46|draft|2018-02-09 13:59:38.382170+00:00
35|4597015|279|44|draft|2018-03-27 16:08:02.847031+00:00
4|4562432|33|46|draft|2018-02-26 13:09:52.221150+00:00
36|4597015|279|44|draft|2018-03-27 16:08:29.108998+00:00
37|4597015|279|16|draft|2018-03-27 22:16:51.225869+00:00
39|4613016|315|89|draft|2018-04-02 14:30:41.708932+00:00
40|4633729|342|46|draft|2018-04-05 12:12:29.340868+00:00
41|4562440|9|44|draft|2018-04-05 13:20:01.069134+00:00
42|4613016|315|44|draft|2018-04-05 18:59:36.921656+00:00
43|4596313|268|46|draft|2018-04-06 07:34:12.934267+00:00
11|4567226|119|44|draft|2018-03-21 18:40:49.363080+00:00
12|4562440|9|46|draft|2018-03-22 11:29:44.271729+00:00
45|4612037|309|89|draft|2018-04-10 05:19:06.624485+00:00
13|4567226|119|46|draft|2018-03-22 14:37:54.862412+00:00
14|4562432|33|46|draft|2018-03-22 14:38:43.408586+00:00
46|4613016|315|89|draft|2018-04-10 15:25:29.666750+00:00
15|4635160|348|46|draft|2018-03-22 15:41:02.040118+00:00
47|4642022|418|89|draft|2018-04-11 15:52:16.834762+00:00
17|4562432|33|46|draft|2018-03-22 17:00:45.729323+00:00
48|4642022|418|89|draft|2018-04-11 15:52:21.565886+00:00
49|4642022|418|89|draft|2018-04-11 15:52:23.718436+00:00
50|4642022|418|89|draft|2018-04-11 15:52:31.353458+00:00
20|4597015|279|46|draft|2018-03-23 10:38:03.086405+00:00
21|4597015|279|46|draft|2018-03-23 10:51:27.706823+00:00
51|4562432|33|16|draft|2018-04-12 08:45:10.720555+00:00
22|4597015|279|46|draft|2018-03-23 10:54:14.477496+00:00
23|4597015|279|46|draft|2018-03-23 16:30:13.719028+00:00
1383|4675851|17122|2161|draft|2018-10-20 08:23:33.661732+00:00
24|4562430|39|46|draft|2018-03-24 14:30:37.338218+00:00
25|4562428|16|46|draft|2018-03-26 15:31:54.542707+00:00
53|4596302|274|16|draft|2018-04-16 11:42:33.195933+00:00
26|4592615|219|46|draft|2018-03-26 15:33:43.670010+00:00
27|4562432|33|46|draft|2018-03-26 16:46:47.780495+00:00
