id|name|id|number_of_seats|available_at_datetime
764|Mei Ume|764|2|2018-05-21 19:30:00+00:00
178|Social Eating House|178|4|2018-07-27 18:30:00+00:00
105|Duck & Waffle|105|2|2018-06-02 19:00:00+00:00
1414|Roux at The Landau|1414|4|2019-03-20 20:00:00+00:00
4518|Tosca|4518|2|2018-06-08 11:00:00+00:00
4518|Tosca|4518|2|2018-06-09 04:00:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-06 04:00:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-06 07:30:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-06 11:00:00+00:00
4518|Tosca|4518|2|2018-06-06 11:00:00+00:00
6798|T'ang Court|6798|2|2018-06-09 12:00:00+00:00
4518|Tosca|4518|2|2018-06-07 04:00:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-07 10:00:00+00:00
7770|Ying Jee Club|7770|2|2018-06-08 10:00:00+00:00
310|Aqua Shard|310|4|2018-06-07 20:00:00+00:00
7770|Ying Jee Club|7770|2|2018-06-11 10:00:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-11 04:00:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-11 07:30:00+00:00
4518|Tosca|4518|2|2018-06-11 11:00:00+00:00
105|Duck & Waffle|105|4|2018-05-21 19:00:00+00:00
4518|Tosca|4518|2|2018-06-12 04:00:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-12 07:30:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-12 11:00:00+00:00
7807|Café 103|7807|2|2018-12-27 10:30:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-13 07:30:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-13 11:00:00+00:00
4518|Tosca|4518|2|2018-06-13 11:00:00+00:00
4518|Tosca|4518|2|2018-06-21 11:00:00+00:00
208|Yauatcha City|208|4|2018-06-20 19:30:00+00:00
665|Bao Fitzrovia|665|2|2018-06-19 18:00:00+00:00
89|Yauatcha - Soho|89|4|2018-07-09 19:30:00+00:00
310|Aqua Shard|310|4|2018-05-24 19:45:00+00:00
1009|Per Se|1009|2|2019-04-14 00:00:00+00:00
3|Alain Ducasse at The Dorchester|3|2|2019-04-12 18:00:00+00:00
7814|Felix|7814|2|2018-12-27 10:00:00+00:00
89|Yauatcha - Soho|89|4|2018-06-18 11:30:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-18 04:00:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-18 10:00:00+00:00
7807|Café 103|7807|2|2018-06-18 11:00:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-19 11:00:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-19 07:30:00+00:00
106|Sake no Hana|106|4|2018-06-26 19:30:00+00:00
490|Marcus Wareing's Tredwell's|490|2|2018-07-03 19:30:00+00:00
490|Marcus Wareing's Tredwell's|490|2|2018-07-08 19:30:00+00:00
34|Hakkasan Hanway Place|34|2|2018-06-25 19:30:00+00:00
764|Mei Ume|764|4|2018-07-02 19:30:00+00:00
7807|Café 103|7807|2|2018-06-25 11:00:00+00:00
7807|Café 103|7807|2|2018-06-21 04:00:00+00:00
733|XU|733|2|2018-07-09 19:00:00+00:00
665|Bao Fitzrovia|665|2|2018-07-08 18:00:00+00:00
7770|Ying Jee Club|7770|2|2018-06-20 10:00:00+00:00
544|Sexy Fish|544|4|2018-07-09 18:30:00+00:00
544|Sexy Fish|544|2|2018-07-08 18:30:00+00:00
7807|Café 103|7807|2|2018-06-27 04:00:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-27 04:00:00+00:00
6798|T'ang Court|6798|2|2018-06-20 13:00:00+00:00
89|Yauatcha - Soho|89|2|2019-01-08 19:30:00+00:00
105|Duck & Waffle|105|4|2018-07-09 19:00:00+00:00
7807|Café 103|7807|2|2018-06-20 04:00:00+00:00
4518|Tosca|4518|2|2018-06-27 04:00:00+00:00
34|Hakkasan Hanway Place|34|4|2018-07-08 12:30:00+00:00
106|Sake no Hana|106|4|2018-07-03 19:30:00+00:00
34|Hakkasan Hanway Place|34|4|2018-06-26 19:30:00+00:00
106|Sake no Hana|106|4|2018-07-08 19:30:00+00:00
