id|name|benefit_code|restaurant_id
179|Complimentary drink or dessert|REF154|5896
178|Complimentary drink or dessert|REF153|6334
803|We can secure prime-time reservations|REF676|7412
149|Complimentary amuse bouche|REF103|5689
71|A complimentary glass of champagne|REF557|3394
405|A complimentary cocktail (lunch/dinner, up to six diners)|REF419|3396
241|Complimentary appetizer|REF220|4015
696|Enjoy a glass of sparkling wine on arrival|4508|5689
70|A chef meet-and-greet, a kitchen tour and a discount on food|REF556|7306
62|A complimentary welcome drink and a discount on food|REF528|2140
7|A complimentary welcome drink and a discount on food|REF350|2155
86|A complimentary glass of champagne|REF577|7417
699|Enjoy a glass of Franciacorta on arrival|4513|8240
702|Enjoy a welcome drink of Japanese Sake on arrival|4512|8217
332|A complimentary welcome drink on arrival|REF326|7353
705|Glass of Champagne on arrival (up to 8 guests)|4531|7425
351|A complimentary glass of champagne and a kitchen tour|REF359|4
401|A complimentary cocktail (lunch/dinner, up to six diners)|REF415|796
365|A complimentary glass of champagne|REF377|23
371|A complimentary glass of champagne (lunch/dinner, up to six diners)|REF383|29
429|A complimentary glass of champagne (lunch/dinner)|REF485|33
366|A complimentary glass of champagne (lunch, up to six diners)|REF378|34
367|A complimentary glass of champagne (lunch, up to six diners)|REF379|35
444|A complimentary glass of bubbly and a chef meet-and-greet (lunch/dinner, up to six diners)|REF504|58
476|A complimentary vermouth (lunch/dinner)|REF585|981
343|A complimentary glass of Prosecco and a 10% discount (up to six diners)|REF338|64
408|A complimentary cocktail (lunch/dinner, up to six diners)|REF422|77
437|A kitchen tour and petites fours to take home (up to six diners)|REF497|82
16|A complimentary glass of champagne|REF411|7359
353|A complimentary glass of cava (lunch/dinner, up to 10 diners)|REF365|101
467|A complimentary glass of Prosecco (for first time visitors, up to six diners)|REF544|105
345|A complimentary glass of cava and a 10% discount (lunch/dinner, up to six diners)|REF340|159
356|A complimentary glass of champagne and VIP treatment (lunch/dinner)|REF368|298
344|A complimentary glass of cava and a 10% discount (lunch/dinner, up to six diners)|REF339|320
90|An complimentary extra course and a kitchen tour (when ordering à la carte or tasting menu, not set lunch)|REF583|445
433|A complimentary glass of champagne (up to six diners)|REF491|537
431|A complimentary glass of champagne (up to six diners)|REF489|759
418|A complimentary signature cocktail (lunch/dinner, up to eight diners)|REF434|764
419|A complimentary dessert cocktail (when ordering main course, up to six diners)|REF436|7448
464|A complimentary glass of bubbly and a plantain snack (up to six diners)|REF539|7449
404|A complimentary cocktail (up to six diners)|REF418|7450
427|A complimentary glass of cava (up to six diners)|REF483|7453
421|A complimentary glass of bubbly, cocktail, beer or wine|REF444|7454
114|A complimentary glass of Prosecco |REF022|829
342|Champagne greet|REF337|1179
156|A complimentary glass of champagne and a chef meet-and-greet|REF111|1286
55|A complimentary glass of champagne and a chef meet-and-greet|REF521|1286
169|Complimentary dessert and special tour of the wine cellar|REF142|1301
100|Complimentary dessert|REF008|1415
91|A complimentary glass of champagne|REF586|1586
278|Canapé trio to start for all guests|REF257|1622
99|Complimentary dessert|REF007|1910
159|A complimentary welcome drink or dessert |REF132|2088
68|A complimentary glass of champagne and a chef meet-and-greet|REF554|2384
157|A complimentary glass of champagne and a chef meet-and-greet|REF112|2384
283|A complimentary glass of Prosecco/welcome drink|REF262|2844
30|A complimentary glass of champagne|REF453|3608
78|A complimentary glass of champagne|REF568|4700
95|A complimentary welcome drink|REF002|4850
24|A complimentary glass of champagne|REF443|5588
877|Book through us for priority reservations|REF693|4096
182|Complimentary drink or dessert|REF157|6329
22|A chef meet-and-greet, a kitchen tour and a discount on food|REF439|6996
708|Enjoy a glass of Sparkling wine on arrival|4533|7427
711|Enjoy a glass of Champagne on arrival|4599|537
713|Enjoy a glass of Champagne on arrival|4530|8454
31|A complimentary welcome drink and an appetiser|REF455|1412
83|A complimentary welcome drink and a dessert|REF573|7489
795|Book through us for priority reservations|REF668|7424
93|A complimentary welcome drink and a gift to take home|REF588|7153
34|A chef meet-and-greet, a kitchen tour and a discount on food|REF458|2926
80|A chef meet-and-greet, a kitchen tour and a discount on food|REF570|7492
14|A chef meet-and-greet, a kitchen tour and a discount on food|REF363|7493
28|A complimentary welcome drink, a chef meet-and-greet and a kitchen tour|REF451|7494
41|A complimentary welcome drink, a chef meet-and-greet and a kitchen tour|REF470|7495
47|A complimentary welcome drink, a chef meet-and-greet and a kitchen tour|REF477|7497
5|A complimentary glass of champagne|REF345|1426
19|A complimentary glass of champagne|REF424|1487
36|A complimentary welcome drink, a chef meet-and-greet and a kitchen tour|REF464|2410
12|Priority entry and table reservation|REF361|7499
75|A complimentary welcome drink and a dessert|REF562|7500
35|A complimentary welcome drink and a dessert|REF460|7501
39|A complimentary welcome drink and a dessert|REF468|7502
133|A complimentary welcome drink|REF064|3054
6|A complimentary welcome drink and an appetiser|REF348|7503
4|A complimentary glass of champagne|REF344|7504
795|Book through us for priority reservations|REF668|6657
3|A complimentary welcome drink and an appetiser|REF343|7508
2|A complimentary appetiser, a chef meet-and-greet and a kitchen tour|REF3343|7509
293|A complimentary welcome cocktail|3051|1238
173|Priority access to reservations|REF147|2160
88|A complimentary welcome drink and a dessert|REF579|4744
161|A 15% discount on the food bill|REF134|6347
357|A complimentary champagne cocktail (lunch/dinner, up to four diners)|REF369|668
113|A complimentary glass of Prosecco |REF021|828
