id|name|latitude|longitude|city|postcode|country|cuisine|location_id|price_indicator|rating|website|vendor_id|tags
1|34 Restaurant|51.510516|-0.152572|London|W1K 2HD|United Kingdom|British,British,British,British,British,British,British,British,British|27d9b687-31e6-4c4f-892a-508c51c365a1||65|http://www.34-restaurant.co.uk/|100002|Vegan,Bottomless brunch,Brunch,Good for vegetarians,High end,Large tables a la carte,Private dining rooms available,Romantic,Traditional
2|Searcys Club   The Gherkin|51.514530|-0.080249|London|EC3A 8EP|United Kingdom|Modern European,Modern European,Modern European,Modern European,Modern European,Modern European,Modern European,Modern European,Modern European,Modern European|27d9b687-31e6-4c4f-892a-508c51c365a1||65|http://searcys.co.uk/venues/the-gherkin/searcys-club-the-gherkin/|100003|Bottomless brunch,Brunch,Disabled access,Good for vegetarians,High end,Large tables a la carte,Private dining rooms available,Romantic,With a view,Modern/trendy
3|Alain Ducasse at The Dorchester|51.507298|-0.152352|London|W1K 1QA|United Kingdom|French,French,French,French,French,French,French,French,French|27d9b687-31e6-4c4f-892a-508c51c365a1||91|http://www.alainducasse-dorchester.com/|100016|Vegan,Disabled access,Good for vegetarians,High end,Large tables a la carte,Award winning,Private dining rooms available,Romantic,Traditional
4|Alyn Williams at The Westbury|51.511272|-0.142728|London|W1S 2YF|United Kingdom|British,British,British,British,British|27d9b687-31e6-4c4f-892a-508c51c365a1|4|95|http://www.alynwilliams.com/|100022|Disabled access,Good for vegetarians,Large tables a la carte,Award winning,Private dining rooms available
5|Amaya|51.499191|-0.156935|London|SW1X 8LB|United Kingdom|Indian,Indian,Indian,Indian,Indian,Indian,Indian|27d9b687-31e6-4c4f-892a-508c51c365a1|4|70|http://www.amaya.biz|100023|Disabled access,Good for vegetarians,Halal,Large tables a la carte,Award winning,Private dining rooms available,Modern/trendy
6|Andrew Edmunds|51.513009|-0.136281|London|W1F 0LP|United Kingdom|French,French,French,French,French,French|27d9b687-31e6-4c4f-892a-508c51c365a1||65|http://www.andrewedmunds.com|100028|Al fresco area available,Disabled access,Good for vegetarians,Large tables a la carte,Romantic,Traditional
8|Assaggi|51.513362|-0.194324|London|W2 4TS|United Kingdom|Italian,Italian,Italian,Italian,Italian|27d9b687-31e6-4c4f-892a-508c51c365a1||65|http://www.assaggi.co.uk/|100050|Child-friendly,Good for vegetarians,Large tables a la carte,Romantic,Traditional
9|Avenue|51.505744|-0.138464|London|SW1A 1EE|United Kingdom|North American|27d9b687-31e6-4c4f-892a-508c51c365a1||48|http://www.avenue-restaurant.co.uk|100057|
11|Bar Boulud London|51.502059|-0.160254|London|SW1X 7LA|United Kingdom|French,French,French,French,French,French,French,French,North American,North American,North American,North American,North American,North American,North American,North American|27d9b687-31e6-4c4f-892a-508c51c365a1||88|http://www.barboulud.com/london/|100074|Vegan,Brunch,Child-friendly,Good for vegetarians,Large tables a la carte,Private dining rooms available,Sharing plates,Traditional,Vegan,Brunch,Child-friendly,Good for vegetarians,Large tables a la carte,Private dining rooms available,Sharing plates,Traditional
12|Benares|51.509846|-0.145059|London|W1J 6BE|United Kingdom|Indian,Indian,Indian,Indian,Indian,Indian,Indian,Indian,Indian|27d9b687-31e6-4c4f-892a-508c51c365a1||85|http://www.benaresrestaurant.com/|100085|Vegan,Child-friendly,Disabled access,Good for vegetarians,High end,Large tables a la carte,Private dining rooms available,Romantic,Traditional
