name|campaign_id|name|sites|subject
The Bank of East Asia|2748377|The Bank of East Asia|341, 339|ui
Swisscard Centurion|2748377|Swisscard Centurion||Centurion Card Request
Swisscard Centurion|2748377|Swisscard Centurion||Centurion Membership Referral Submission
Swisscard Centurion|2748377|Swisscard Centurion||Centurion Membership Interest Submission
ABSA|2748377|ABSA||Confirmation of password change
Alphacard|2748377|Alphacard||Confirmation of password change
Alphacard Centurion|2748377|Alphacard Centurion||Confirmation of password change
BAC|2748377|BAC||Confirmation of password change
Banco Pichincha|2748377|Banco Pichincha||Confirmation of password change
Bank of Melbourne [WP]|2748377|Bank of Melbourne [WP]||Confirmation of password change
Bank SA [WP]|2748377|Bank SA [WP]||Confirmation of password change
Barclaycard|2748377|Barclaycard||Confirmation of password change
Barclays|2748377|Barclays||Confirmation of password change
BCG|2748377|BCG||Confirmation of password change
City National Bank|2748377|City National Bank||Confirmation of password change
Coutts|2748377|Coutts||Confirmation of password change
Credit One|2748377|Credit One||Confirmation of password change
Credit Saison|2748377|Credit Saison||Confirmation of password change
Credit Saison Diamond|2748377|Credit Saison Diamond||Confirmation of password change
DBS AMEX|2748377|DBS AMEX||Confirmation of password change
Dillards|2748377|Dillards||Confirmation of password change
Discover|2748377|Discover||Confirmation of password change
DNB|2748377|DNB||Confirmation of password change
Europe Arab Bank|2748377|Europe Arab Bank||Confirmation of password change
Ginza Six Card|2748377|Ginza Six Card||Confirmation of password change
Global Travel Collection|2748377|Global Travel Collection||Confirmation of password change
HSBC|2748377|HSBC||Confirmation of password change
HSBC Infinite|2748377|HSBC Infinite||Confirmation of password change
Luxury Card|2748377|Luxury Card||Confirmation of password change
Manulife|2748377|Manulife||Confirmation of password change
Mastercard|2748377|Mastercard||Confirmation of password change
Mastercard Citi|2748377|Mastercard Citi||Confirmation of password change
Mastercard RAK|2748377|Mastercard RAK||Confirmation of password change
Morgan Stanley|2748377|Morgan Stanley||Confirmation of password change
MTLS Itau|2748377|MTLS Itau||Confirmation of password change
MTLS NEO|2748377|MTLS NEO||Confirmation of password change
MTLS SNB|2748377|MTLS SNB||Confirmation of password change
Natwest Black|2748377|Natwest Black||Confirmation of password change
Navy Federal Union|2748377|Navy Federal Union||Confirmation of password change
Nomura|2748377|Nomura||Confirmation of password change
OCBC|2748377|OCBC|249, 273, 274|Confirmation of password change
Qorbis|2748377|Qorbis||Confirmation of password change
Royal Bank of Canada|2748377|Royal Bank of Canada||Confirmation of password change
Royal Bank of Scotland Black|2748377|Royal Bank of Scotland Black||Confirmation of password change
Santander Private Banking|2748377|Santander Private Banking||Confirmation of password change
Scotia|2748377|Scotia||Confirmation of password change
Scotiabank Gold American Express®|2748377|Scotiabank Gold American Express®|425, 423|Confirmation of password change
Scotiabank Platinum American Express|2748377|Scotiabank Platinum American Express|421, 422|Confirmation of password change
SJP|2748377|SJP||Confirmation of password change
SMCC|2748377|SMCC||Confirmation of password change
SPW|2748377|SPW||Confirmation of password change
Standard Chartered|2748377|Standard Chartered||Confirmation of password change
St George [WP]|2748377|St George [WP]||Confirmation of password change
Swisscard|2748377|Swisscard||Confirmation of password change
Swisscard Centurion|2748377|Swisscard Centurion||Confirmation of password change
Ten|2748377|Ten||Confirmation of password change
Ten Explore|2748377|Ten Explore||Confirmation of password change
The Bank of East Asia|2748377|The Bank of East Asia||Confirmation of password change
Visa CEMEA|2748377|Visa CEMEA||Confirmation of password change
Visa LAC|2748377|Visa LAC||Confirmation of password change
Visa Trial|2748377|Visa Trial||Confirmation of password change
Visa US|2748377|Visa US||Confirmation of password change
Wells Fargo|2748377|Wells Fargo||Confirmation of password change
Wells Fargo The Private Bank|2748377|Wells Fargo The Private Bank||Confirmation of password change
Westpac|2748377|Westpac||Confirmation of password change
Global Travel Collection|2748377|Global Travel Collection||Your GTC Concierge request bundle has been purchased
Global Travel Collection|2748377|Global Travel Collection||Confirming that we’ve received your {{request_type}} request
Alphacard|2748377|Alphacard||Create Delegate Email
Alphacard Centurion|2748377|Alphacard Centurion||Create Delegate Email
BAC|2748377|BAC||Create Delegate Email
Bank of Melbourne [WP]|2748377|Bank of Melbourne [WP]||Create Delegate Email
Bank SA [WP]|2748377|Bank SA [WP]||Create Delegate Email
BCG|2748377|BCG||Create Delegate Email
Coutts|2748377|Coutts||Create Delegate Email
Credit One|2748377|Credit One||Create Delegate Email
DBS AMEX|2748377|DBS AMEX||Create Delegate Email
Dillards|2748377|Dillards||Create Delegate Email
Discover|2748377|Discover||Create Delegate Email
Europe Arab Bank|2748377|Europe Arab Bank||Create Delegate Email
Ginza Six Card|2748377|Ginza Six Card||Create Delegate Email
HSBC|2748377|HSBC||Create Delegate Email
Luxury Card|2748377|Luxury Card||Create Delegate Email
Manulife|2748377|Manulife||Create Delegate Email
Mastercard|2748377|Mastercard||Create Delegate Email
Mastercard Citi|2748377|Mastercard Citi||Create Delegate Email
Mastercard RAK|2748377|Mastercard RAK||Create Delegate Email
Morgan Stanley|2748377|Morgan Stanley||Create Delegate Email
MTLS Itau|2748377|MTLS Itau||Create Delegate Email
MTLS NEO|2748377|MTLS NEO||Create Delegate Email
MTLS SNB|2748377|MTLS SNB||Create Delegate Email
Natwest Black|2748377|Natwest Black||Create Delegate Email
Santander Private Banking|2748377|Santander Private Banking||Create Delegate Email
Scotia|2748377|Scotia||Create Delegate Email
SJP|2748377|SJP||Create Delegate Email
SPW|2748377|SPW||Create Delegate Email
Standard Chartered|2748377|Standard Chartered||Create Delegate Email
St George [WP]|2748377|St George [WP]||Create Delegate Email
Swisscard|2748377|Swisscard||Create Delegate Email
Swisscard Centurion|2748377|Swisscard Centurion||Create Delegate Email
Ten|2748377|Ten||Create Delegate Email
The Bank of East Asia|2748377|The Bank of East Asia||Create Delegate Email
Visa CEMEA|2748377|Visa CEMEA||Create Delegate Email
Westpac|2748377|Westpac||Create Delegate Email
ABSA|2748377|ABSA||Reservation requested: {{Restaurant_name}}
Alphacard|2748377|Alphacard||Reservation requested: {{Restaurant_name}}
Alphacard Centurion|2748377|Alphacard Centurion||Reservation requested: {{Restaurant_name}}
Bank of Melbourne [WP]|2748377|Bank of Melbourne [WP]||Reservation requested: {{Restaurant_name}}
Bank SA [WP]|2748377|Bank SA [WP]||Reservation requested: {{Restaurant_name}}
Barclaycard|2748377|Barclaycard||Reservation requested: {{Restaurant_name}}
Barclays|2748377|Barclays||Reservation requested: {{Restaurant_name}}
Credit Saison|2748377|Credit Saison||Reservation requested: {{Restaurant_name}}
Credit Saison Diamond|2748377|Credit Saison Diamond||Reservation requested: {{Restaurant_name}}
Discover|2748377|Discover||Reservation requested: {{Restaurant_name}}
DNB|2748377|DNB||Reservation requested: {{Restaurant_name}}
