id|event_id|tag_id
10429|55861|13714
9989|7505|481
9990|7505|501
9863|4328|478
9864|4185|146
9865|4478|172
9866|4479|172
9867|4485|169
9514|4165|146
9515|4165|140
9556|4199|425
9557|4199|484
9578|4221|144
9992|7545|425
9868|4487|169
9869|4486|169
9870|4490|179
9871|4488|140
9872|4492|152
9873|4492|146
9874|4492|478
9875|4492|527
9876|4493|142
9877|4493|478
9993|7545|501
9455|4127|440
9456|4127|178
9457|4127|483
9996|9789|478
9880|4496|478
9516|4166|146
9517|4166|140
9881|4497|478
9882|4498|478
9883|4499|176
9884|4500|186
9885|4500|479
9886|4499|483
9887|4495|478
9518|4167|174
9888|4494|478
9519|4168|174
9520|4169|174
9521|4170|174
9586|4226|717
9473|4138|146
9522|4171|174
9587|4228|425
9523|4172|174
9622|4262|717
9524|4173|146
9525|4173|148
9623|4263|425
9476|4141|196
9526|4174|146
9527|4174|148
9477|4142|196
9528|4175|146
9529|4175|148
9478|4143|146
9479|4143|148
9530|4176|146
9531|4176|148
9570|4211|717
9480|4144|152
9532|4177|146
9533|4177|148
9481|4145|174
9534|4178|146
9535|4178|148
9572|4213|425
9482|4146|174
9536|4179|174
9573|4214|174
9897|4507|144
10434|56127|176
10431|56003|153
9485|4147|143
9537|4180|174
9574|4215|146
9596|4237|174
9486|4148|196
9538|4181|174
9898|4507|478
9597|4238|146
9487|4149|140
9539|4182|174
9576|4217|717
10432|56003|598
10433|56085|1001
9540|4183|146
10440|56070|169
9490|4149|146
9541|4184|146
9634|4274|717
9601|4242|174
9543|4186|146
9602|4244|146
9902|4509|478
9903|4510|478
9544|4187|146
9603|4243|174
9904|4511|478
9905|4512|478
9545|4188|146
9906|4512|143
9907|4514|478
9908|4513|146
9546|4189|174
9909|4513|478
9910|4515|478
9547|4190|174
9606|4247|146
9911|4516|478
9506|4151|146
9507|4151|140
9913|4518|161
9508|4162|146
9509|4162|140
9612|4253|425
9510|4163|146
9511|4163|140
9512|4164|146
9513|4164|140
9555|4198|174
9914|4519|146
9915|4519|478
9916|4522|164
10441|56070|55695
9918|4524|382
9919|4524|478
9854|4446|172
9920|4524|142
9857|4456|172
9921|4525|144
9922|4525|478
9923|4526|144
9924|4526|478
10456|56435|37418
9930|4520|478
9931|4498|139
9932|4498|143
9934|4531|382
9935|4531|478
9936|4531|142
9938|4532|144
10446|56388|26625
9940|4532|478
9941|4533|144
9942|4533|478
9943|4529|144
9944|4529|478
9945|4534|164
10451|56395|43366
9948|4518|483
10454|56403|16526
9950|4536|478
9951|4539|136
9952|4539|478
9953|4539|143
9954|4540|136
9955|4540|478
9956|4540|143
9957|4541|136
9958|4541|478
9959|4541|143
9960|4542|144
10455|56403|71478
9962|4542|141
9963|4544|153
9965|4572|141
9966|4572|478
9970|7457|141
9975|7458|141
9976|7458|478
9991|7506|483
9978|4549|153
9979|7465|144
9980|7465|478
9981|7472|144
9982|7472|478
9983|7473|144
9984|7473|478
9985|7501|189
9986|7503|483
9994|8759|170
9995|8759|483
9997|10515|176
9998|10515|483
9999|10515|501
10000|10692|400
10001|10692|143
10002|10984|400
10003|10984|143
10004|11289|154
10005|11451|154
10006|11849|143
10407|28711|146
10008|11852|143
10009|11867|483
10435|56093|1016
10011|12153|143
10014|12165|479
10016|12157|146
10017|12156|146
10018|12155|146
10019|12160|168
10020|12159|168
10021|12158|168
10022|12164|176
10023|12163|176
10024|12162|176
10025|12171|153
10026|12170|142
10027|12166|142
10028|12172|155
10030|12174|139
10031|12174|143
10442|56150|18769
10447|56390|71685
10034|12647|144
10452|56399|71548
10036|12662|390
10039|13120|143
10040|13121|163
10041|13122|153
10043|13124|579
10044|13125|144
10045|13125|142
10046|13126|579
10047|13127|153
10048|13128|156
10049|13129|154
10050|13130|579
10051|13131|159
10052|13132|153
10053|13133|153
10054|13134|153
10055|13135|156
10056|13504|478
10057|13505|478
10058|13506|478
10059|13507|152
10060|13509|153
10061|13510|479
10062|13517|479
10063|13518|154
10064|13519|478
10065|13520|479
10066|13521|479
10067|13522|479
10068|13523|479
10069|13524|478
10070|13525|478
10071|13532|478
10073|13871|153
10074|13883|146
10075|13884|139
10076|13885|478
10078|13895|153
10079|13891|153
10080|13490|153
10081|13899|153
10082|13900|156
10083|13901|153
10085|13902|478
10087|13904|478
10090|14100|478
10092|14102|150
10093|14102|151
10094|14103|152
10095|14103|483
10096|14105|425
10097|14106|478
10098|14107|483
10100|14109|478
10101|14110|478
10102|14111|150
10103|14112|139
10104|14113|390
10105|14114|478
10106|14115|478
10107|14116|478
10108|14117|478
10109|14118|478
10110|14123|476
10111|14124|178
10112|14125|432
10113|14125|147
10114|14127|164
10115|14128|178
10116|14129|174
10117|14130|174
10118|14132|172
10119|14134|481
10120|14286|478
10123|14293|139
10124|14293|143
10125|14295|151
10126|14296|146
10128|14684|478
10129|14685|146
10130|14685|478
10131|14686|478
10132|14687|478
10133|14688|478
10134|14689|478
10135|14690|151
10136|14692|478
10137|14119|478
10138|14696|478
10139|14717|136
10140|14719|139
10141|14719|143
10143|14786|400
10144|14791|146
10145|14853|478
10146|14854|478
10147|14855|478
10148|15019|478
10150|15020|478
10151|15021|478
10152|15022|478
10153|15024|478
10154|15079|478
10156|15082|478
10157|15083|478
10158|15178|143
10159|15179|479
10160|15211|143
10161|15233|481
10162|15234|479
10163|15235|478
10164|15236|478
10165|15237|478
10166|15238|478
10167|15239|139
10168|15239|478
10169|15239|143
10170|15240|139
10172|15240|478
10173|15240|143
10174|15160|478
10175|15418|425
10176|15418|507
10177|15418|481
10178|15419|139
10179|15419|143
10180|15420|479
10181|15421|139
10182|15421|143
10183|15422|141
10184|15423|143
10185|15424|143
10186|15425|143
10187|15426|144
10188|15428|179
10436|56092|1016
10190|15430|144
10191|15430|143
10192|15432|479
10193|15433|478
10194|15434|144
10195|15434|143
10196|15435|142
10197|15437|478
10437|56092|153
10199|15439|138
10200|15440|174
10201|15442|479
10202|15443|140
10203|15443|143
10204|15444|144
10205|15444|143
10206|15445|144
10448|56392|153
10208|15446|144
10209|15448|144
10449|56392|32070
10211|15451|144
10212|15644|150
10213|15645|478
10214|15646|478
10215|15654|150
10216|15656|174
10217|15657|172
10218|15658|194
10219|15746|478
10220|15747|136
10221|15747|143
10453|56400|28217
10408|29637|146
10409|29637|174
10225|15765|142
10226|15767|142
10227|15768|143
10228|15772|144
10229|15772|478
10230|15773|478
10231|15776|478
10232|15777|144
10233|15777|138
10234|15777|478
10235|15778|479
10236|15779|144
10237|15779|478
10238|15780|478
10239|15781|144
10240|15781|478
10241|15782|144
10242|15786|143
10243|15840|143
10244|15850|153
10245|15930|153
10246|15931|153
10247|15932|153
10248|15933|153
10249|15936|153
10251|15941|153
10252|15949|146
10253|15949|478
10254|15950|144
10255|15951|478
10256|15952|153
10257|15953|153
10258|15954|153
10259|15955|153
10261|15957|153
10262|15958|153
10263|15959|153
10264|15960|153
10265|15961|153
10266|15962|153
10267|15963|153
10268|16221|144
10269|16221|143
10270|16223|146
10271|16224|146
10272|16229|478
10273|16230|150
10274|16231|170
10275|16240|146
10276|16247|478
10277|16248|478
10278|16249|478
10279|19473|478
10280|19472|478
10281|19471|139
10282|19471|478
10283|19471|143
10284|19470|478
10285|19469|478
10286|19468|478
10287|19474|478
10288|4138|136
10290|20517|172
10291|20518|172
10292|20523|139
10293|20523|143
10294|20827|478
10296|21431|164
10297|21432|164
10299|21433|164
10300|21434|164
10301|21434|173
10415|31076|484
10304|22196|154
10305|22296|156
10306|22298|156
10308|22353|143
10309|22463|151
10312|22630|136
10313|22630|143
10314|22674|176
10315|22681|169
10316|22682|168
10317|22682|174
10318|22684|167
10319|22712|138
10320|22713|479
10321|22811|142
10323|22930|144
10324|22939|141
10325|22964|143
10326|22965|143
10327|22929|152
10328|22897|143
10329|22896|136
10330|22938|143
10332|22130|141
10333|22130|142
10334|14292|144
10335|23234|144
10342|23311|156
10343|23331|156
10345|23423|164
10346|23472|172
10347|23748|152
10348|23749|145
10349|23848|171
10351|23966|440
10352|23966|483
10353|24018|136
10369|24234|481
10370|24234|194
10371|24234|147
10372|24234|189
10373|24234|157
10375|21435|178
10376|24629|144
10377|24699|165
10379|24701|169
10380|24876|143
10382|25278|481
10383|24702|189
10384|25543|169
10385|25544|164
10389|25589|481
10390|25791|425
10391|25807|144
10392|25810|137
10393|26027|144
