id|name|longitude|latitude|country|postcode|location_id|see_venue_id
7276|Hinterland HQ|-1.528966|53.789467|United Kingdom|LS10 1EE|27d9b687-31e6-4c4f-892a-508c51c365a1|19237
7279|Saadiyat Beach Golf Club|54.439030|24.542820|United Arab Emirates||a5b8f6d9-a6dc-41b4-b184-504fad26b26a|
7908|Trondheim Spektrum|10.377206|63.427288|Norway|7030|67072d8f-07ac-4525-b791-3c1f23687142|
7468|Blurose Todmorden|-2.097084|53.714007|United Kingdom|OL14 5AQ|27d9b687-31e6-4c4f-892a-508c51c365a1|19402
8187|Rockhal|||Luxembourg| |ea57a373-5bca-4290-8ef9-84039a31f930|12295
5266|Stained Glass Centre|-1.087370|53.957516|United Kingdom|YO1 6LG|27d9b687-31e6-4c4f-892a-508c51c365a1|17631
7257|Campingplatz Obermenzing|11.575481|48.137272|Germany|81247|0d4b844f-7a74-4bd8-a19f-f15d634d6935|19127
6646|The Golden Fleece|-1.150319|52.960307|United Kingdom|NG1 3FN|27d9b687-31e6-4c4f-892a-508c51c365a1|5337
7293|The Windmill|0.893203|51.144229|United Kingdom|TN24 0QR|27d9b687-31e6-4c4f-892a-508c51c365a1|19239
8331|Trondelag Theatre|10.389904|63.429348|Norway|7012|67072d8f-07ac-4525-b791-3c1f23687142|
7459|Roadhouse|-0.122965|51.512061|United Kingdom|WC2E 8BE|27d9b687-31e6-4c4f-892a-508c51c365a1|19397
7295|La Station - Gare des Mines|2.344447|48.892150|France|75018|4e9cea11-b383-442b-8363-38b95162a531|19242
7809|Record Junkee and Cafe Totem*|||United Kingdom|S1 3FP|27d9b687-31e6-4c4f-892a-508c51c365a1|19292
6647|Grand Ole Opry|-4.279498|55.854193|United Kingdom|G51 1HS|27d9b687-31e6-4c4f-892a-508c51c365a1|1481
7296|Thr Turnpike Gallery|-2.520028|53.497772|United Kingdom|WN7 1EB|27d9b687-31e6-4c4f-892a-508c51c365a1|19244
7461|Sony Hall|-73.986990|40.759580|United States|NY 10036|cd38dc9e-1d2c-4aa9-bb89-2f0dba00a8cf|
7463|Salitre Magico|-74.091975|4.664819|Colombia||191ac934-2a55-42e3-aa16-f36245707485|
6648|Green Hotel|-3.424387|56.210075|United Kingdom|KY13 8AS|27d9b687-31e6-4c4f-892a-508c51c365a1|2695
7464|Polar Bear Gallery|121.446406|31.247594|China Mainland|200020|a5e88700-7fe1-4d2b-b7d0-9944ac9706be|
7465|Le Mondo Bizarro Rennes|-1.680265|48.111761|France|35000|4e9cea11-b383-442b-8363-38b95162a531|19419
7466|1988 Live Club|-1.680265|48.111761|France|35000|4e9cea11-b383-442b-8363-38b95162a531|19418
7467|Kraine Theater|-74.000883|40.749469|United States|NY10003|a3a2eab3-de54-4388-894e-364e26911c3b|19400
7469|CCO|4.880385|45.764712|France|69100|4e9cea11-b383-442b-8363-38b95162a531|19420
7470|Sala Biribay|-2.449290|42.459877|Spain|26002|9cbbdced-21fa-4322-a91b-277d6642ed08|19353
7253|Bolton Market Hall|-2.429940|53.581440|United Kingdom|B1 1TQ|27d9b687-31e6-4c4f-892a-508c51c365a1|18920
9050|Lisboa|||Portugal|1600|f196262b-8c66-4f1a-a043-514e3250e353|19262
7280|The Masque Theatre*|18.468520|-34.102720|South Africa|7945|9cbe4b80-3fd6-48b7-9099-28f8e91b29f6|
7489|The Dulcimer|-2.276034|53.442308|United Kingdom|M21 0AE|27d9b687-31e6-4c4f-892a-508c51c365a1|19442
