id|name|geoname_id|ivector_connect_geo_level_id|ivector_connect_id|ivector_connect_unique_code|administrative_subdivision|country
3ce43435-752b-4038-9e05-6561ebf11481|Mellieha||||SEH4EJ||Malta
33ee8c76-4520-4130-98dc-c1a8872964ea|Muharraq||||35CCLV||Bahrain
c04a17ec-d245-4218-8844-5611c49368d9|Sea Island||||LYQ8ZK|Georgia|United States
58c2ca7c-756c-406c-91cb-5d5315dca3d0|Tsavo||2||FXZJ5L||Kenya
249558d7-76ca-40d8-95a1-a42f6af9a8ad|Koyasan||||MN47T4||Japan
dc73c518-5448-4f96-ab7e-89e706ba9d66|Kunshan||||HYH2RE||China Mainland
03cf0fbd-c7cb-45b2-a405-ea3616e08eb9|Juazeiro do Norte||2||QYC40Z||Brazil
8ce6b324-16ca-490e-8141-b48206ea4db9|Brockenhurst||2||O5H7FG||United Kingdom
aabb25e8-4a7d-4b5d-9452-a07f8eb24065|Tarifa||2||LA2ZOA||Spain
34f6426f-a58c-47b0-9b22-6aa7051e6b7e|Itapeva||2||VIAN3J||Brazil
b8b0c28b-6086-4aa6-99ba-da2adfeff2c4|Paarl||2||NE21VO||South Africa
f2707e56-158c-4e99-b5c1-6d0233bf6382|Cornwall||||6DSFZ8||United Kingdom
bc4f4517-f7f7-41b9-b37d-3d2d487f931d|Almeria||2||3GWAAS||Spain
b00c2e7e-4c43-4216-a149-21db210871c1|Cologne||2||EMSYEC||Germany
b6601058-5c5c-40b5-8b79-b0f186f05e37|Aparecida||2||EVCZAF||Brazil
37c6748f-ea93-4642-8120-63ac45c3e6f8|Malibu||2||306AEF||United States
731308c9-59b2-4b96-992b-f77bd8a2d0e7|Sligachan||2||LSQ93A||United Kingdom
7a763eb0-9d97-4972-9c4d-50cdb3ce59e8|Newquay||||BQ9L3Y||United Kingdom
d166e443-d696-4a9a-9ec6-b28cecebbcef|Langebaan||2||MGASPN||South Africa
e740f54a-93bf-4b95-9910-3d2df5569fa0|Stockton||2||BIYFOL||United Kingdom
de3dfc6c-6bbe-4d92-8051-8f56a94f88b0|Gstaad||||FWLUMS||Switzerland
a28aaa85-6928-4d6e-97f4-c721bbcc85d5|Fordingbridge||2||HEH6I5||United Kingdom
369a25a1-e4f7-49ba-abe3-e71b291b9f00|Guarulhos||||5LWDUU||Brazil
c65f6e3e-ba3c-4513-aa1f-17893ebd1d58|Varadero||||MRVMAU||Cuba
