id|name|geoname_id|ivector_connect_geo_level_id|ivector_connect_id|ivector_connect_unique_code
b87da341-5b7e-4213-9516-8b452a2c6727|Mandoul|7603252|||
554a1ed2-35e3-41f7-8b4d-d7d1ba51a234|Dodoma Region|160192|||
b364d509-a95e-40e3-ade0-873a22b79228|Xuan Wu||3||L4UU7Y
eb4abe25-157d-47ea-b5a5-21790f86df0e|Tie Xi||3||JG89OR
0a0f7f3b-ed03-4758-ad56-48f4692455ec|Departamento de Santa Bárbara|3601689|||
fd905214-7388-4326-86dd-88ef79c23a19|Lakes|408647|||
e835304d-8b18-458a-a465-d30a44559d8e|Kayin State|1320233|||
874e1455-98fc-4900-8a2b-0466afe65ffb|Lol|11550548|||
4d12e815-1897-4893-acac-30c80fb2b1e2|Opština Dojran|862949|||
07adae0e-e2ef-46c4-8363-e6b4e59be263|Jiangxi Sheng|1806222|||
65ff0228-02e7-4541-b251-719e77a427c4|Coast Region|150602|||
752a5cc0-efb0-4875-b26e-4d1464f4919c|West Haven||3||B2C3WU
bfb6e1b1-a439-4d43-89b1-a97b27b40b16|Perthshire||2||
28bda935-d499-4006-b256-2f7f9a35fefa|Global||||
6281417e-5687-4c05-9aa1-efe065bcd63b|Rumonge Province|11184798|||
5a591a86-6e7e-4230-9fc9-ad36a183ef7f|Občina Renče-Vogrsko|8133587|||
71beb6fa-1a50-4952-aa57-0a8a3d40d0a4|Distrito da Guarda|2738782|||
41e935ff-a9e8-41ba-817b-5d55ee62e5b7|2nd Arrondissement||3||2JYC75
40ec23c6-649e-4194-a7a3-8b20eac2bdfc|Taita Taveta|7667652|||
bed9de30-68f7-42da-b4b0-efa7a0a70573|Mino|1857062|2||BMYGIM
1f3a995e-13ac-44b4-bc48-538693f6b41f|Claydesta Plaza||3||UF4S72
8ced9a29-a7c5-4763-8025-b346ce08a193|Old Town||3||E9M8E4
08281023-3caf-4642-9c61-6ecee67c5a1e|Provinsi Sulawesi Barat|1996550|||
e1059820-1a62-4f73-b765-babaf245e8ca|Nordviertel||3||S01HOB
26aedf68-0957-4b53-9755-cf37f9932fc6|Oblast Yambol|864563|||
03791941-51ae-4197-b038-91a99b7e8c9a|Greenshores||3||CB536O
819c83ad-7177-437a-aef3-d6b7604c84fc|Vanlose||3||UNY0OK
2f581dcc-c759-4c10-9bba-cfac312dcac6|Conwy||3||EZWJR7
eef09618-8d7c-4337-b816-74bd515c8ebe|Tiris Zemmour|2375989|||
ae0972d9-42fd-400d-a203-dc07604dbd2c|Ile Verte||3||LP2087
c178fabf-efc1-4b80-9576-99b1706624dc|Humaya||3||PAXZSY
