id|memberbenefit_id|tag_id
1571|610|477
103|32|433
104|33|121
105|33|126
106|39|438
111|45|418
11|4|434
12|4|474
19173|4448|1067
14|4|437
116|56|195
28|6|476
30|6|437
33|7|438
127|77|438
129|81|418
130|83|438
19174|4448|1071
132|90|194
133|93|438
134|94|438
135|96|438
136|97|438
137|100|438
138|95|438
139|98|438
140|99|438
141|101|438
19175|4448|433
142|102|438
57|19|433
58|19|474
143|103|438
144|104|438
64|23|463
145|105|438
146|106|438
147|108|438
148|109|438
149|110|438
1572|610|717
1573|610|463
150|111|438
151|112|438
152|113|438
153|114|438
154|115|438
79|15|433
155|116|438
82|30|434
156|117|438
88|34|475
91|35|472
92|35|482
93|35|510
94|35|471
95|36|484
97|37|560
98|37|42
99|37|484
100|38|484
101|38|510
157|118|438
158|119|438
159|120|438
160|121|438
161|123|438
162|125|433
163|126|672
164|126|561
165|126|44
166|127|81
167|128|672
168|128|433
169|128|137
170|129|81
171|129|609
172|129|40
173|129|561
174|130|561
1577|612|477
176|131|433
1578|612|717
1579|612|463
1581|614|426
180|132|672
181|132|81
182|132|52
183|132|488
5772|1398|1253
185|132|671
186|133|81
187|133|561
188|133|594
189|133|511
190|134|189
191|134|487
192|135|816
193|135|170
194|135|440
195|137|40
196|137|81
197|138|672
198|138|433
199|138|80
200|138|79
201|139|672
202|139|433
203|139|40
204|139|585
205|139|488
206|140|672
207|140|81
208|140|40
209|140|487
210|141|432
211|141|81
212|141|503
213|141|726
214|141|71
215|141|43
216|142|81
217|142|489
218|143|43
219|143|726
220|143|511
221|144|585
222|144|81
223|144|489
224|143|432
225|145|488
226|145|418
227|145|557
228|146|816
229|146|611
230|146|438
231|146|122
232|146|190
233|146|191
234|147|672
235|147|80
236|147|434
237|147|503
238|147|79
239|148|672
240|148|81
241|148|44
242|149|433
243|149|539
244|150|81
245|151|672
246|151|433
247|151|726
248|151|79
249|152|81
250|153|672
251|153|433
252|153|531
253|153|726
254|153|79
255|154|672
256|154|433
257|154|80
258|154|79
259|155|192
260|155|488
261|155|556
262|155|150
263|155|151
264|155|152
265|155|153
266|155|154
267|155|155
268|155|156
269|155|189
270|156|609
271|156|587
272|156|605
273|156|487
274|157|528
275|157|609
276|157|52
277|157|726
278|157|41
1582|614|432
279|157|587
280|158|561
281|159|561
282|160|726
283|161|440
284|161|170
285|161|726
286|162|440
287|162|170
5773|1398|438
289|162|726
290|163|432
291|163|433
292|163|726
293|163|55
294|164|488
295|165|433
296|165|726
297|166|816
298|166|609
299|167|440
300|167|489
301|167|170
302|168|192
303|168|190
304|169|440
305|169|170
306|170|672
307|170|80
308|170|433
309|170|509
310|170|79
311|171|672
312|171|81
313|171|671
314|172|432
315|172|81
316|172|561
317|172|726
318|172|535
319|173|503
320|174|192
321|174|190
322|175|672
323|175|432
324|175|433
325|175|81
326|175|561
327|175|726
328|175|44
329|176|432
330|176|609
331|176|561
332|176|726
333|176|605
334|177|432
335|177|433
336|177|726
337|177|561
338|178|432
339|178|726
340|179|672
341|179|432
342|179|433
343|179|726
344|179|42
345|179|46
346|180|672
347|180|487
348|180|79
349|180|80
350|180|433
351|180|81
352|180|432
353|180|726
354|181|672
355|181|487
356|181|79
357|181|591
358|181|433
359|181|81
360|181|432
361|181|726
362|182|434
363|182|511
364|183|609
365|183|503
366|183|44
367|183|463
368|184|552
369|184|475
370|185|80
371|185|433
372|186|609
373|186|44
374|186|535
375|187|80
376|187|673
377|187|81
378|187|535
379|187|79
380|188|81
381|189|592
382|189|81
383|190|816
384|190|440
385|191|434
386|192|672
387|192|44
388|192|55
389|193|488
390|193|609
391|193|587
392|193|81
393|194|81
394|194|503
395|194|561
396|195|561
397|195|503
398|196|44
19176|4448|434
400|197|81
401|197|609
402|197|43
403|197|44
404|198|80
405|198|561
406|199|672
407|199|434
408|199|477
409|199|526
410|200|81
411|200|605
412|200|503
413|201|81
414|201|605
415|201|503
416|202|81
417|202|509
418|203|81
419|203|44
420|203|489
421|204|672
422|204|80
423|204|433
424|204|81
425|204|508
426|204|79
427|205|672
428|205|433
429|205|81
430|205|561
431|205|79
432|206|81
433|206|605
434|206|609
435|207|81
436|207|433
437|207|611
438|207|561
439|207|605
440|209|81
441|209|609
442|209|561
443|210|672
444|210|433
445|210|535
446|211|80
447|211|434
448|211|508
449|211|79
450|212|81
451|212|609
452|213|672
453|213|592
454|213|433
455|213|81
456|213|487
457|213|587
458|214|671
459|214|81
460|214|44
461|214|55
462|215|609
463|215|434
464|215|189
465|216|40
466|216|81
467|216|609
468|217|81
469|217|539
470|217|609
471|218|81
1574|611|440
473|218|503
474|219|440
475|219|170
476|220|170
477|221|81
478|221|609
479|221|40
480|221|539
481|222|609
482|222|81
483|222|486
484|222|583
485|222|40
486|222|605
487|223|611
488|223|81
489|223|539
490|224|672
491|224|80
492|224|433
493|224|503
494|224|137
495|225|80
496|225|137
497|225|561
498|226|433
499|226|508
500|227|672
501|227|433
502|227|561
503|227|583
504|228|672
505|228|433
506|228|488
507|229|81
508|229|489
509|229|55
26599|6458|1057
26600|6458|71370
512|231|433
513|231|561
514|232|592
515|232|593
516|232|81
517|232|561
518|233|81
519|233|509
520|234|81
521|234|561
522|235|81
523|236|81
524|236|44
525|236|535
526|237|81
527|237|433
528|237|79
529|238|672
530|238|433
531|238|44
532|239|561
533|240|81
534|240|44
535|240|561
536|241|672
537|241|433
538|241|81
539|241|561
540|242|672
541|242|433
542|242|508
543|243|40
544|243|81
545|244|672
546|244|44
547|244|671
548|245|433
549|245|44
550|245|509
551|246|40
552|248|672
553|248|62
554|249|561
555|249|44
556|250|43
557|250|503
558|251|552
559|251|63
560|252|44
561|253|81
562|253|561
563|254|81
564|254|43
565|254|561
566|255|81
567|255|43
568|255|561
569|256|81
1575|611|462
571|256|561
572|257|81
573|257|561
19177|4448|1076
575|258|438
576|260|438
577|261|438
578|262|438
579|263|438
580|264|123
581|265|438
582|266|438
583|267|438
584|268|438
585|269|438
586|61|672
587|61|816
1576|611|463
589|61|189
1580|613|438
591|53|816
19178|4448|1080
593|53|589
596|67|816
597|67|504
598|67|556
601|49|816
602|49|425
603|49|492
31987|7573|1091
605|55|425
32142|7611|440
607|55|510
611|43|816
612|43|504
613|43|425
614|43|556
1583|614|434
1584|614|714
1585|614|429
1599|619|434
1600|619|431
620|168|189
621|168|438
624|45|522
625|45|438
626|45|431
19179|4448|1081
628|46|561
629|46|189
630|46|438
631|56|816
632|56|429
634|83|557
635|83|429
638|42|120
639|42|419
640|42|438
643|58|120
644|58|419
645|58|438
646|82|120
647|82|419
648|82|438
651|63|120
652|63|419
653|63|438
654|83|419
655|83|428
1954|641|440
1955|641|174
658|47|429
32143|7611|1117
32144|7611|1151
32224|7628|1057
665|62|487
668|41|428
669|41|429
670|41|438
31988|7574|71376
31989|7574|71394
31990|7574|726
31991|7574|1160
5775|1399|1253
5776|1399|438
680|44|429
1586|615|432
682|40|506
683|40|438
684|40|607
685|54|192
686|54|189
687|54|438
688|70|192
689|70|528
690|70|438
691|71|192
692|71|189
693|71|438
31992|7574|1068
31993|7574|71390
31994|7574|1071
32145|7612|1056
5826|1416|1253
5827|1416|438
19180|4448|476
701|59|487
702|68|192
703|68|506
704|68|189
32146|7612|1072
32147|7612|1042
707|57|438
708|50|192
709|50|189
710|50|438
711|73|192
712|73|425
713|73|189
714|73|438
715|75|482
716|271|561
717|271|503
718|271|79
719|273|770
747|306|605
749|307|609
750|307|822
751|308|605
5876|1434|1253
753|311|671
754|312|672
755|312|44
756|312|671
757|313|671
758|315|822
759|316|44
760|317|822
762|337|43
763|340|43
764|341|40
765|342|40
766|343|40
767|344|81
768|344|79
769|345|49
770|346|49
771|349|822
772|351|671
775|320|671
776|324|671
777|323|40
778|361|822
779|339|43
780|339|44
781|314|42
783|363|49
789|369|49
790|370|49
791|372|671
1587|615|433
793|373|49
794|375|714
795|375|717
796|376|822
797|309|43
798|305|49
799|333|824
800|378|49
801|379|49
802|72|432
803|74|432
804|380|438
805|381|438
806|382|438
807|383|438
808|384|438
809|385|609
810|385|510
811|386|438
812|387|510
42653|11291|726
814|388|522
815|390|522
816|391|64
817|281|672
818|281|123
819|88|672
820|88|123
821|88|717
822|80|440
1588|615|425
824|353|432
825|353|433
826|353|123
827|7|440
828|7|170
829|342|726
5877|1434|438
831|81|438
832|72|438
1589|615|428
834|314|432
835|314|726
836|314|503
837|320|432
19347|4488|1090
839|356|433
841|341|588
842|341|726
843|341|599
844|341|503
845|352|433
846|352|434
847|352|503
848|324|672
849|324|432
850|324|611
851|324|726
852|324|503
5918|1452|1253
854|310|48
855|310|726
856|310|822
857|310|503
858|358|433
859|358|434
860|358|503
861|350|433
862|350|434
863|350|503
864|321|432
865|321|503
866|318|426
867|318|726
868|318|503
869|322|672
870|322|726
871|322|503
872|322|123
873|322|717
874|354|433
875|354|434
876|354|503
5919|1452|438
19348|4488|1091
19349|4488|1092
5960|1466|1253
884|309|672
885|309|48
886|309|726
887|309|432
888|316|48
889|316|432
890|316|726
891|316|503
892|316|672
1601|620|714
1602|620|717
1612|626|431
1613|627|433
1614|627|434
893|48|440
1594|617|434
19181|4449|1121
5778|1400|1253
5779|1400|438
1595|617|717
899|313|672
900|313|40
901|313|588
902|313|48
903|313|432
904|313|595
905|313|599
19182|4449|1042
907|75|192
908|75|816
909|75|528
910|75|195
911|75|589
912|75|190
913|75|429
914|315|503
915|315|595
916|315|599
917|43|192
918|43|189
919|305|503
920|305|595
921|305|599
922|334|824
923|334|433
924|334|432
925|334|503
926|376|503
927|376|595
928|376|599
929|45|741
930|340|672
931|340|595
932|340|44
933|306|42
934|306|595
935|306|46
5829|1417|1253
937|351|503
938|372|48
939|372|503
940|372|432
941|372|823
942|349|672
943|349|595
944|349|503
945|357|433
946|357|434
947|355|433
948|355|434
949|356|434
950|69|192
31995|7575|418
1604|621|433
1605|622|476
1606|622|717
1607|623|431
956|322|714
19350|4488|1093
959|40|433
32148|7612|71400
961|62|438
1608|624|429
963|312|432
964|361|432
965|339|432
966|307|432
967|311|432
968|317|432
970|308|432
971|271|432
972|323|432
974|342|432
975|341|432
976|310|432
977|56|438
978|75|438
979|305|432
980|315|432
981|376|432
982|306|432
983|340|432
984|349|432
985|349|433
986|351|432
