id|event_id|local_datetime
1770|802|2030-12-31 00:00:00+00:00
77|41|2021-07-03 18:30:00+00:00
2371|1168|2023-05-09 18:00:00+00:00
2308|1136|2023-06-25 09:00:00+00:00
2332|755|2023-06-17 11:00:00+00:00
2761|1391|2023-11-25 01:00:00+00:00
2316|1140|2023-04-20 10:00:00+00:00
2290|1127|2023-09-24 08:30:00+00:00
2428|1218|2023-07-11 18:00:00+00:00
2470|1245|2030-01-01 00:00:00+00:00
1116|543|2021-09-18 08:30:00+00:00
2343|1151|2023-04-20 17:00:00+00:00
2402|1191|2023-06-21 18:00:00+00:00
2260|1113|2023-03-18 09:00:00+00:00
2293|1129|2023-03-10 17:00:00+00:00
2637|1332|2023-10-20 17:00:00+00:00
2434|1224|2023-07-21 09:30:00+00:00
2477|1250|2023-09-28 10:00:00+00:00
2601|1320|2024-03-21 10:00:00+00:00
2360|1155|2023-06-10 16:00:00+00:00
2449|1217|2023-06-29 10:30:00+00:00
2497|1261|2023-08-11 14:00:00+00:00
2460|1238|2023-10-05 16:30:00+00:00
2512|1263|2023-08-11 14:00:00+00:00
3054|1576|2025-06-01 03:55:30+00:00
2465|1241|2023-08-31 02:00:00+00:00
2557|1298|2023-10-05 16:30:00+00:00
2802|1431|2024-02-15 08:00:00+00:00
2417|1213|2023-07-03 17:15:00+00:00
2587|1318|2023-08-29 04:00:00+00:00
2776|1407|2024-12-31 02:00:00+00:00
3060|1582|2024-07-10 08:30:00+00:00
2958|1528|2024-05-07 18:00:00+00:00
2939|1512|2024-04-24 15:30:00+00:00
2871|1466|2024-04-27 12:30:00+00:00
2652|1334|2023-09-21 08:00:00+00:00
2662|1343|2023-10-20 06:00:00+00:00
2927|1504|2050-01-01 18:00:00+00:00
2919|1489|2024-05-22 16:30:00+00:00
2998|1544|2024-07-06 10:00:00+00:00
3051|1573|2024-08-07 17:00:00+00:00
2612|1323|2023-11-08 10:00:00+00:00
2936|1510|2024-07-05 09:00:00+00:00
2817|1444|2024-03-03 12:00:00+00:00
2702|1368|2024-12-31 02:00:00+00:00
2849|1461|2050-01-01 00:00:00+00:00
2831|1450|2024-03-12 19:00:00+00:00
2674|1350|2023-11-25 12:00:00+00:00
2687|1354|2023-11-08 10:00:00+00:00
2718|1375|2024-12-08 12:00:00+00:00
2733|1380|2024-09-27 12:00:00+00:00
2748|1384|2024-09-20 12:00:00+00:00
2669|1346|2023-11-02 16:00:00+00:00
2626|1326|2023-10-14 09:00:00+00:00
2920|1493|2024-05-06 17:45:00+00:00
2466|1242|2023-07-29 09:00:00+00:00
3091|1604|2024-09-05 17:30:00+00:00
2852|1463|2024-05-18 09:00:00+00:00
2944|1514|2024-05-15 16:00:00+00:00
2912|1488|2024-04-18 17:00:00+00:00
2837|1456|2024-03-09 12:00:00+00:00
2890|1477|2024-08-17 12:30:00+00:00
2906|1485|2024-11-02 12:30:00+00:00
3098|1611|2050-01-01 00:00:00+00:00
2918|1490|2026-01-01 03:00:00+00:00
3061|1584|2024-07-20 10:00:00+00:00
2861|1467|2024-05-01 15:00:00+00:00
3073|1592|2024-07-19 04:00:00+00:00
2942|1511|2024-04-19 10:00:00+00:00
2838|1457|2024-04-18 10:00:00+00:00
2932|1508|2024-04-19 10:00:00+00:00
3155|1658|2025-08-14 09:00:00+00:00
3038|1563|2024-06-02 09:30:00+00:00
3037|1562|2024-05-30 08:00:00+00:00
3142|1648|2024-11-22 18:00:00+00:00
3034|1561|2024-06-27 10:00:00+00:00
3088|1601|2024-09-04 21:00:00+00:00
3181|1684|2025-02-13 17:30:00+00:00
2921|1494|2024-09-25 22:00:00+00:00
3041|1565|2024-07-09 18:00:00+00:00
3116|1629|2024-10-23 16:30:00+00:00
3080|1546|2024-10-04 16:30:00+00:00
3040|1564|2024-06-16 08:00:00+00:00
2275|1119|2023-03-12 09:00:00+00:00
3102|1616|2024-10-22 22:00:00+00:00
3157|1660|2025-02-28 08:00:00+00:00
3065|1586|2024-09-01 11:00:00+00:00
1608|717|2027-12-31 18:00:00+00:00
3066|1587|2024-08-05 17:00:00+00:00
3107|1620|2024-10-10 16:00:00+00:00
3050|1574|2024-08-01 22:30:00+00:00
3081|1594|2024-09-01 11:00:00+00:00
3083|1596|2024-10-22 17:30:00+00:00
3120|1615|2024-10-15 18:00:00+00:00
3067|1588|2024-11-02 11:00:00+00:00
3082|1597|2024-09-01 11:00:00+00:00
3049|1573|2024-07-11 17:00:00+00:00
3069|1573|2024-08-14 17:45:00+00:00
3090|1603|2024-08-29 09:00:00+00:00
3092|1605|2024-09-11 18:00:00+00:00
3013|1544|2024-09-01 10:00:00+00:00
3089|1602|2025-10-20 17:00:00+00:00
3105|1618|2024-10-22 14:00:00+00:00
3085|1599|2024-09-30 05:00:00+00:00
3076|1593|2024-08-28 09:00:00+00:00
3108|1621|2024-10-08 18:00:00+00:00
3104|1617|2024-10-17 18:00:00+00:00
3115|1628|2024-10-09 17:30:00+00:00
3119|1630|2025-01-23 17:30:00+00:00
3121|1631|2050-01-01 00:00:00+00:00
3106|1619|2024-10-17 17:30:00+00:00
3131|1638|2024-11-20 19:00:00+00:00
3126|1635|2024-10-12 09:00:00+00:00
3137|1644|2024-10-22 17:30:00+00:00
3141|1647|2024-11-27 19:30:00+00:00
3127|1636|2024-11-14 17:00:00+00:00
3149|1653|2050-01-01 00:00:00+00:00
3147|1651|2050-01-01 00:00:00+00:00
3150|1654|2024-11-06 18:00:00+00:00
3158|1661|2024-11-13 09:30:00+00:00
3154|1657|2024-12-04 18:45:00+00:00
3153|1656|2024-11-12 18:00:00+00:00
3129|1633|2024-12-01 10:00:00+00:00
3156|1659|2024-11-21 17:00:00+00:00
3125|1634|2024-11-28 17:00:00+00:00
3140|1646|2024-11-14 18:30:00+00:00
3159|1662|2030-06-29 23:00:00+00:00
2228|1086|2023-01-12 04:00:00+00:00
2372|1169|2023-05-16 18:00:00+00:00
2333|755|2023-06-18 11:00:00+00:00
2309|1137|2023-07-01 09:00:00+00:00
2317|1140|2023-04-21 10:00:00+00:00
2429|1219|2023-07-11 18:00:00+00:00
2667|1344|2023-10-25 11:00:00+00:00
2291|1128|2023-04-21 17:30:00+00:00
2471|1246|2023-07-13 06:00:00+00:00
2276|1120|2023-03-17 11:00:00+00:00
2294|1120|2023-03-17 14:00:00+00:00
2383|1175|2023-05-10 12:00:00+00:00
2638|1333|2023-11-10 14:00:00+00:00
2435|1225|2023-06-24 07:00:00+00:00
2387|1177|2023-06-17 08:00:00+00:00
2602|1320|2024-03-22 10:00:00+00:00
2403|1192|2023-06-21 18:00:00+00:00
2478|1250|2023-09-29 10:00:00+00:00
2803|1431|2024-02-16 08:00:00+00:00
