id|memberevent_id|tag_id
180|114|425
181|115|425
182|116|425
183|117|438
184|118|432
185|119|432
186|120|432
187|121|431
188|122|432
189|123|432
190|125|425
191|126|425
192|124|425
193|127|432
194|130|432
195|130|717
196|131|432
197|131|426
198|132|432
199|132|426
200|133|432
201|134|425
202|135|434
203|136|440
204|136|419
205|137|432
206|137|433
207|138|425
208|139|481
78|41|481
209|140|481
210|141|432
211|142|432
84|44|432
85|42|438
87|40|425
88|47|481
89|48|432
90|48|169
91|49|481
92|50|432
93|50|425
94|51|433
95|52|432
96|53|432
97|53|418
98|54|432
99|55|432
100|56|432
213|144|425
102|58|432
103|59|432
104|60|425
105|61|432
106|62|432
214|144|426
108|64|432
109|65|432
215|144|717
111|64|433
112|66|432
680|433|1067
114|69|194
115|68|432
116|70|432
217|146|432
118|71|432
119|71|433
120|73|432
121|73|433
122|74|425
123|75|432
124|76|432
125|76|438
126|78|432
127|77|432
128|79|426
129|84|426
218|147|426
131|86|425
219|148|432
133|88|432
134|88|433
135|80|425
136|81|717
137|63|425
138|82|717
139|89|81
140|83|425
141|85|481
142|87|481
143|90|434
220|148|429
221|148|440
146|92|432
147|93|484
148|93|717
149|94|432
150|94|47
151|95|432
152|96|146
153|97|146
154|98|432
155|99|146
156|100|717
157|101|432
158|101|47
159|102|474
160|102|426
161|102|437
162|103|432
163|104|432
164|104|433
165|105|717
166|106|432
167|107|434
168|107|426
169|108|445
170|91|432
171|109|440
172|109|726
173|110|432
174|111|425
175|111|157
176|111|726
177|111|429
178|112|440
179|113|438
222|148|431
224|150|425
227|151|425
228|151|426
229|152|425
230|152|717
231|149|425
236|153|425
237|157|426
681|433|1071
239|159|440
240|160|432
241|161|432
242|161|433
243|162|426
244|163|432
247|166|432
248|167|432
249|169|432
250|171|432
251|171|147
252|172|432
253|170|432
254|173|714
255|173|717
256|174|829
257|175|438
258|176|438
259|177|438
260|178|438
261|179|425
262|180|438
263|181|425
264|181|717
266|183|434
267|183|426
268|183|429
269|184|440
270|184|419
271|184|429
272|185|432
273|185|433
274|186|432
275|186|433
276|45|432
277|45|433
278|45|426
279|187|438
280|188|120
281|189|432
282|189|433
283|190|425
284|191|432
285|192|434
286|192|717
287|193|425
288|194|425
289|194|717
290|195|432
291|196|432
292|196|437
293|196|425
294|196|426
295|196|475
296|197|432
297|198|432
298|198|433
299|198|429
300|199|717
301|200|425
302|200|426
303|201|432
304|201|433
305|201|429
306|203|432
307|204|426
308|204|714
309|204|429
310|204|717
311|204|431
312|204|432
313|204|433
314|204|437
315|205|432
316|206|432
317|207|432
319|209|432
320|210|432
321|212|432
322|213|432
323|214|432
324|215|717
325|211|425
326|216|432
327|216|433
328|217|714
329|217|717
330|217|431
331|218|434
332|218|714
333|219|425
334|221|433
335|222|432
336|223|426
337|224|429
338|225|432
339|226|426
340|227|426
341|228|432
342|228|419
343|228|429
344|229|432
345|230|432
346|230|433
347|230|425
348|231|432
349|231|433
350|232|425
351|233|432
352|233|433
353|234|432
354|234|433
355|221|434
356|221|428
357|235|432
358|235|433
359|236|426
361|238|432
362|239|434
363|239|717
364|240|440
365|240|434
366|240|419
367|240|429
368|241|429
369|242|433
371|243|432
372|244|432
373|245|425
374|245|437
375|246|432
376|246|433
377|248|432
378|249|419
379|249|438
380|250|425
381|251|425
382|251|429
383|252|429
384|253|418
385|253|429
386|254|432
387|254|433
390|255|419
391|255|440
392|256|425
393|257|432
394|258|425
395|259|425
396|255|429
397|260|432
398|261|432
399|262|432
400|263|432
401|265|425
402|265|717
403|267|432
404|267|433
405|268|432
406|268|433
409|270|426
410|270|429
411|271|425
412|271|426
414|273|426
415|274|432
416|275|432
417|275|433
418|276|429
419|277|432
420|278|426
421|279|714
422|280|432
423|280|717
424|281|432
425|281|433
426|282|432
427|282|426
428|283|432
429|283|433
430|284|425
431|284|426
432|285|425
433|285|717
434|287|432
435|288|432
436|289|717
437|290|425
438|291|481
439|291|425
440|292|425
441|293|432
442|293|433
443|294|432
444|295|432
445|296|425
446|297|425
447|298|432
448|299|432
449|299|433
450|300|432
451|301|419
452|302|432
453|303|419
454|304|432
455|305|432
456|306|432
457|307|717
458|308|717
459|310|425
460|311|425
461|312|432
462|312|588
463|313|432
464|315|432
466|316|717
467|319|425
468|321|481
469|324|426
470|324|434
471|325|425
472|325|434
473|325|429
474|327|717
475|329|432
476|329|425
477|330|432
478|328|432
479|323|429
480|331|432
482|333|432
483|334|432
484|335|429
485|336|432
486|337|432
487|337|429
488|338|432
489|338|433
490|339|433
491|340|437
492|341|433
493|342|994
494|344|481
495|345|429
496|346|717
497|347|717
498|348|432
499|349|432
500|350|12
501|351|432
502|352|432
503|353|717
504|354|481
505|355|1009
506|356|432
507|357|426
508|357|434
509|357|429
510|358|432
511|359|432
512|360|717
513|361|481
514|362|432
515|362|425
516|362|429
517|363|434
518|363|429
519|364|434
520|364|429
521|365|1009
522|366|434
523|366|717
524|367|432
525|368|432
526|370|437
527|372|425
528|373|425
529|374|432
530|374|433
531|375|432
532|375|433
533|376|432
534|377|717
535|380|419
536|381|429
537|382|714
538|383|426
539|326|434
540|326|429
541|378|432
542|379|432
543|371|434
544|371|429
545|384|717
546|383|432
547|385|432
548|385|433
549|386|432
550|386|433
551|386|434
552|387|476
553|388|717
554|389|433
555|389|726
556|390|29
557|391|717
558|392|431
559|393|425
682|434|1081
561|394|425
562|395|425
563|395|726
564|396|425
565|396|426
566|397|1009
683|434|434
684|434|1084
569|399|717
685|435|1009
686|435|429
572|402|425
573|403|419
574|404|1052
575|405|425
576|406|425
577|407|432
578|407|433
579|408|431
580|409|717
581|410|425
582|411|419
583|412|714
584|413|432
585|413|433
586|414|419
587|415|433
687|436|433
688|436|497
689|436|1071
591|418|432
592|401|1017
593|401|425
690|437|433
691|437|1029
692|438|1020
597|397|1035
693|438|429
599|393|1017
694|438|1071
695|438|433
