id|name|link|chosen_tags|sites
33|FARFETCH|https://www.farfetch.com/sg/farfetch-partnership/private-client?clickref=1100liydgQSP&utm_source=hsbc_jade&utm_medium=partnerships&utm_campaign=PHPAR&pid=performancehorizon_int&c=hsbc_jade&clickid=110||313
76|Hotel Privileges|https://www.platinumtravel-be.tenconcierge.com/product/contact||379
5|Christie's|https://www.christies.edu/?utm_source=hsbchttps://www.christies.edu/terms-conditions.aspx||246
104|Berry Bros. & Rudd|https://www.concierge.hsbc.com/product/contact||242
106|Aman|https://www.jade.hsbc.com/member-benefits/details/6337||242
18|Regent Seven Seas Cruises|https://www.concierge.hsbc.com/product/contact||246
64|World music: Salif Keïta|https://www.americanexpress.com/en-ch/benefits/new-centurion/living/performances/salif-keita|Music,Art & Culture,Complimentary|338,338,338
55|K11 ARTUS|https://www.artus.com.hk/||251
27|Abercrombie & Kent|https://www.concierge.hsbc.com/product/contact||255
23|Abercrombie & Kent|https://www.abercrombiekent.co.uk/hsbc-jade-fr||246
56|The Economist|https://www.economistasia.com/joi/HSBC/website/||246
91|Wisdom of Living|https://www.wisdomofliving.com/||2
58|Classical: Yo-Yo Ma|https://www.americanexpress.com/en-ch/benefits/new-centurion/living/performances/yo-yo-ma|Music,Complimentary|338,338
8|Mandarin Oriental Singapore - Dining Society|https://www.mosindiningsociety.com/||246
87|Mandarin Consulting|http://www.mciworldwide.com.cn/||167,165,153,152,151,164,163
74|Airport Lounges|https://www.americanexpress.com/be/fr/avantages/carte-platinum-american-express/?inav=be_fr_menu_rewards_platinum||379
54|Raffles Medical Group|https://www.rafflesmedicalgroup.com/||246
29|FARFETCH|https://www.farfetch.com/sg/farfetch-partnership/private-client?clickref=1100liydgQSP&utm_source=hsbc_jade&utm_medium=partnerships&utm_campaign=PHPAR&pid=performancehorizon_int&c=hsbc_jade&clickid=110||313
71|Introduction to ceremonial Japan|https://www.americanexpress.com/en-ch/benefits/new-centurion/living/introductions/ceremonial-japan|Art & Culture,Complimentary|338,338
4|Christie's|https://www.christies.com/departments/index.aspx?cid=EM_CUS_HSBC_STRATPAR||246
68|Cinema: Wong Kar-wai – In the Mood for Love|https://www.americanexpress.com/en-ch/benefits/new-centurion/living/performances/wong-kar-wai|Art & Culture,Complimentary|338,338
34|FARFETCH|https://www.farfetch.com/sg/farfetch-partnership/private-client?clickref=1100liydgQSP&utm_source=hsbc_jade&utm_medium=partnerships&utm_campaign=PHPAR&pid=performancehorizon_int&c=hsbc_jade&clickid=110||313
51|Insurance|https://www.americanexpress.ch/en/insurance||317,315
96|Arch Education|http://www.arch-education.com||242
80|Platinum Experiences|https://www.americanexpress.com/be/fr/avantages/carte-platinum-american-express/?inav=be_fr_menu_rewards_platinum#ExperienceScroll||379
52|American Express Platinum Dining|https://www.platinum.travel-lifestyle.ch/dining/search||315,317
70|Introduction to autobiography with Lifebook|https://www.americanexpress.com/en-ch/benefits/new-centurion/living/introductions/autobiography|Art & Culture,Complimentary|338,338
83|MR PORTER|http://www.mrporter.com||242
67|Literature: Salman Rushdie|https://www.americanexpress.com/en-ch/benefits/new-centurion/living/performances/salman-rushdie|Art & Culture,Complimentary|338,338
63|Bossa nova: Eliane Elias|https://www.americanexpress.com/en-ch/benefits/new-centurion/living/performances/eliane-elias|Art & Culture,Complimentary|338,338
90|Medical Travel Companions|https://bookings.medicaltravelcompanions.com/aff/HSBC/1wgwcl85||158,156,155,151,111,168,161,153,152,157
10|Luxasia|http://www.hsbc.com.sg/jade||246
35|Mandarin Oriental Hotel Group|https://www.mandarinoriental.com.hk/partner/hsbc-jade||246
105|Platinum Shopping Globus Special|https://www.americanexpress.ch/en/rewards/platinum-benefits/globus||246
45|Bonas MacFarlane|http://www.bonasmacfarlane.co.uk||246
6|Mandarin Oriental Hotel Group|https://www.mandarinoriental.com/partner/hsbc-jade||246
107|American Express Platinum Shopping|https://www.platinum.travel-lifestyle.ch/member-benefits/search||315
86|Mandarin Consulting|https://www.mciworldwide.co.uk/||156,155,111,168,157
84|The University Guys|https://www.theuniversityguys.com/hsbc/||242
39|Lane Crawford|https://privileges.jade.hsbc.com/hk/en-gb/details/?oid=JD00092020||246
92|Timothy Oulton|https://www.timothyoulton.com/||242
89|Crimson Education|https://www.crimsoneducation.org/hk-en/||242
93|Medical Travel Companions|https://bookings.medicaltravelcompanions.com/aff/HSBC/1wgwcl85||167,165
101|FARFETCH|https://www.farfetch.com/sg/farfetch-partnership/private-client?clickref=1100liydgQSP&utm_source=hsbc_jade&utm_medium=partnerships&utm_campaign=PHPAR&pid=performancehorizon_int&c=hsbc_jade&clickid=110||313
36|Mandarin Oriental Hotel Group|https://cn.mandarinoriental.com/partner/hsbc-jade||246
69|Introduction to fine wine with Arvid Rosengren|https://www.americanexpress.com/en-ch/benefits/new-centurion/living/introductions/fine-wine|Education,Complimentary|338,338
31|FARFETCH|https://www.farfetch.com/sg/farfetch-partnership/private-client?clickref=1100liydgQSP&utm_source=hsbc_jade&utm_medium=partnerships&utm_campaign=PHPAR&pid=performancehorizon_int&c=hsbc_jade&clickid=110||313
50|Car Rental & Transfers|https://www.americanexpress.ch/en/travel/private-travel/rental-car-programs||317,315
102|Mandarin Consulting|https://www.mciworldwide.co.uk/||277,276
60|Introduction to well-being with Gwyneth Paltrow and goop|https://www.americanexpress.com/en-ch/benefits/new-centurion/living/introductions/wellbeing|Complimentary,Health & Fitness|338,338
14|Regent Seven Seas Cruises|https://www.jade.hsbc.com/product/contact||246
97|Berry Bros. & Rudd|https://www.concierge.hsbc.com/product/contact||255
66|Dance: Aakash Odedra|https://www.americanexpress.com/en-ch/benefits/new-centurion/living/performances/aakash-odedra|Art & Culture,Complimentary|338,338
108|Premium EAB Visa Debit Card|https://www.eabplc.com/premium_visa_cards||497
109|Premium EAB Visa Debit Card|https://www.eabsa.eu/exclusive||498
22|Abercrombie & Kent|https://www.abercrombiekent.co.uk/hsbc-jade||246
59|Introduction to contemporary Chinese art with The Guggenheim|https://www.americanexpress.com/en-ch/benefits/new-centurion/living/introductions/chinese-art|Art & Culture,Complimentary|338,338
13|Regent Seven Seas Cruises|https://www.jade.hsbc.com/product/contact||246
65|Introduction to classical music with Yo-Yo Ma|https://www.americanexpress.com/en-ch/benefits/new-centurion/living/introductions/classical-music|Music,Complimentary|338,338
2|Berry Bros. & Rudd|https://www.bbr.com/hsbc-jade||255
16|丽晶七海邮轮 (Regent Seven Seas Cruises)|https://www.jade.hsbc.com/product/contact||246
62|Jazz: Dianne Reeves|https://www.americanexpress.com/en-ch/benefits/new-centurion/living/performances/dianne-reeves|Music,Complimentary|338,338
75|Loyalty Programs|https://www.lyyti.fi/reg/EliteTierBEP||379
98|Platinum Sport & Well-being, Holmes Place|https://www.americanexpress.ch/en/rewards/platinum-benefits/holmes-place|Health & Fitness|315
73|Fast Lane Brussels Airport|https://enjoy.brusselsairport.be/en/americanexpress||379
44|Arch Education|http://www.arch-education.com||242
103|Medical Travel Companions|https://bookings.medicaltravelcompanions.com/aff/HSBC/1wgwcl85||277,276
11|Raffles Medical|http://www.hsbc.com.sg/jade||265
42|WatchBox|https://www.jade.hsbc.com/member-benefits/details/1191||251
99|Platinum Nightlife|https://www.platinum.travel-lifestyle.ch/member-benefits/search?q=nightlife&scroll=true||315
88|The English Education|http://www.theenglisheducation.co.uk/hsbc||242
82|NET-A-PORTER|https://www.net-a-porter.com/||242
41|Rosewood|https://www.rosewoodhotels.com/sc/jade||242
40|Rosewood|https://www.rosewoodhotels.com/en/jade||242
46|Hotels|https://www.platinum.travel-lifestyle.ch/travel||315,317
43|Aman|https://www.jade.hsbc.com/member-benefits/details/1195||242
53|Tickets & Events|https://www.platinum.travel-lifestyle.ch/entertainment/search||317,315
32|FARFETCH|https://www.farfetch.com/sg/farfetch-partnership/private-client?clickref=1100liydgQSP&utm_source=hsbc_jade&utm_medium=partnerships&utm_campaign=PHPAR&pid=performancehorizon_int&c=hsbc_jade&clickid=110||313
7|Small Luxury Hotels of the World™|https://www.slh.com/partners/hsbc-jade/||246
9|Capella Hotel Singapore|https://www.capellahotels.com/en/capella-singapore||246
100|Abercrombie & Kent|https://www.concierge.hsbc.com/product/contact||255
38|Regent Seven Seas Cruises|https://www.concierge.hsbc.com/product/contact||246
15|Regent Seven Seas Cruises|https://www.jade.hsbc.com/product/contact||246
79|Membership Rewards®|https://www.americanexpress.com/be/fr/avantages/carte-platinum-american-express/?inav=be_fr_menu_rewards_platinum||379
48|International Airline Program|https://www.platinum.travel-lifestyle.ch/travel||317,315
12|Regent Seven Seas Cruises|https://www.jade.hsbc.com/product/contact||246
26|Abercrombie & Kent|https://www.concierge.hsbc.com/product/contact||255
85|Mandarin Consulting|https://www.mciworldwide.com/||158,162,161
72|Introduction to ikebana with Senko Ikenobo|https://www.americanexpress.com/en-ch/benefits/new-centurion/living/introductions/ikebana|Art & Culture,Complimentary|338,338
95|Regent Seven Seas Cruises|https://www.concierge.hsbc.com/product/contact||246
78|Insurance|https://www.americanexpress.com/be/fr/cartes/carte-platinum-american-express/assurances.html||379
24|Abercrombie & Kent|https://www.abercrombiekent.com/hsbc-jade||246
57|Soul: Alicia Keys|https://www.americanexpress.com/en-ch/benefits/new-centurion/living/performances/alicia-keys|Music,Complimentary|338,338
81|Week in China|https://www.weekinchina.com/||242
19|Regent Seven Seas Cruises|https://www.jade.hsbc.com/product/contact||246
61|Introduction to the Scottish Highlands|https://www.americanexpress.com/en-ch/benefits/new-centurion/living/introductions/highlands|Art & Culture,Complimentary|338,338
77|International Airline Program|https://www.platinumtravel-be.tenconcierge.com/product/contact||379
25|Abercrombie & Kent|https://www.abercrombiekent.com.au/hidden-pages/hsbc-jade||246
94|Rosewood|https://www.rosewoodhotels.com/sc/jade||242
30|FARFETCH|https://www.farfetch.com/sg/farfetch-partnership/private-client?clickref=1100liydgQSP&utm_source=hsbc_jade&utm_medium=partnerships&utm_campaign=PHPAR&pid=performancehorizon_int&c=hsbc_jade&clickid=110||313
21|onefinestay|http://partners.onefinestay.com/hsbc/||255
49|Airport Lounges|https://www.americanexpress.ch/en/travel/private-travel/airport-lounges||317,315
47|Fine Hotels & Resorts|https://www.platinum.travel-lifestyle.ch/travel||317,315
3|Bowers & Wilkins|https://bowersandwilkins.custhelp.com/app/mobile/jade_form||252
17|Regent Seven Seas Cruises|https://www.jade.hsbc.com/product/contact||246
28|FARFETCH|https://www.farfetch.com/sg/farfetch-partnership/private-client?clickref=1100liydgQSP&utm_source=hsbc_jade&utm_medium=partnerships&utm_campaign=PHPAR&pid=performancehorizon_int&c=hsbc_jade&clickid=110||313
37|Mandarin Oriental Hotel Group|https://www.mandarinoriental.fr/partner/hsbc-jade||246
20|Regent Seven Seas Cruises|https://www.jade.hsbc.com/product/contact||246
