id|name|ivector_connect_id|iata_code|location_id|latitude|longitude
3424|Cukurova International Airport|3292|COV|922b4adc-6701-4144-a223-f43be1584f73|36.847991|34.941622
3232|Fayetteville, NC, United States of America (FAY-Fayetteville Regional)|2952|FAY||0.000000|0.000000
3233|Lexington, KY, United States of America (LEX-Blue Grass)|2953|LEX||0.000000|0.000000
1878|(PNA) Pamplona, Spain|1140|PNA|9cbbdced-21fa-4322-a91b-277d6642ed08|42.770000|-1.646000
1939|Abidjan|1817_2018-10-24 15:09:01.684228+00:00|ABJ|d1e3565e-0db1-40db-8031-b10136831d23|5.260000|-3.926000
3234|Montrose, CO, United States of America (MTJ-Montrose Regional)|2954|MTJ||0.000000|0.000000
3235|Zhangjiajie, China (DYG)|2955|DYG||0.000000|0.000000
3236|Port Lincoln, SA, Australia (PLO)|2956|PLO||0.000000|0.000000
3237|Kangaroo Island, SA, Australia (KGC-Kingscote)|2957|KGC||0.000000|0.000000
3238|Coober Pedy, SA, Australia (CPD)|2958|CPD||0.000000|0.000000
3239|Ajaccio, France (AJA-Napoleon Bonaparte)|2959|AJA||0.000000|0.000000
3240|Figari, France (FSC-Figari - Sud Corse)|2960|FSC||0.000000|0.000000
3241|Cochin, India (COK-Cochin Intl.)|2961|COK||0.000000|0.000000
1037|(IKT) Irkutsk, Russia|602|IKT|576c23c3-4580-490c-9f63-4ae61de172e2|52.267000|104.395000
3242|State College, PA, United States of America (SCE-University Park)|2962|SCE||0.000000|0.000000
3243|Aspen, CO, United States of America (ASE-Pitkin County)|2963|ASE||0.000000|0.000000
3244|Hilton Head Island, SC, United States of America (HHH)|2964|HHH||0.000000|0.000000
3245|Plymouth, Montserrat (MNI-Gerald's Field)|2965|MNI||0.000000|0.000000
3133|(STT) Cyril E. King, Charlotte Amalie, U.S. Virgin Islands|2865|STT|d055ea23-1589-4455-b7a1-b07b5b4bb689|18.336063|-64.972275
3228|(ABJ) Abidjan - Félix-Houphouët-Boigny International Airport|1817|ABJ|50655bbf-1914-41d7-a3c2-79e96ed8c8a8|5.254470|-3.929629
978|(LHR) Heathrow, London, England, UK|809|LHR|6a582305-0df7-4cc8-b8b6-95463e8822de|51.477000|-0.461000
2559|(LUW) Luwuk, Indonesia|853|LUW|e8d59809-8738-469c-bec9-9b62403c452f|-1.039000|122.772000
3246|Mesa, AZ, United States of America (AZA-Phoenix - Mesa Gateway)|2966|AZA||0.000000|0.000000
3247|Springfield, MO, United States of America (SGF-Springfield-Branson National)|2967|SGF||0.000000|0.000000
3248|Ithaca, NY, United States of America (ITH-Tompkins Regional)|2968|ITH||0.000000|0.000000
1096|(JED) King Abdulaziz International, Jeddah, Saudi Arabia|654|JED|c02c0ce7-33ca-439d-a92e-7069a14cbec9|21.679000|39.156000
3249|Koror, Palau (ROR-Palau Intl.)|2970|ROR||0.000000|0.000000
2748|(DPS) Bali Ngurah Rai International, Denpasar, Indonesia|390|DPS|e8d59809-8738-469c-bec9-9b62403c452f|-8.748000|115.167000
1056|(JFK) John F. Kennedy International, New York, NY, United States|2525|JFK|cd38dc9e-1d2c-4aa9-bb89-2f0dba00a8cf|40.640000|-73.779000
3076|(PUS) Gimhae, Busan, South Korea|2813|PUS|bc511c7c-729f-41e5-9d02-0227dad16381|35.171896|128.948920
2124|(RUH) King Khaled International, Riyadh, Saudi Arabia|1259|RUH|c02c0ce7-33ca-439d-a92e-7069a14cbec9|24.957000|46.699000
2460|(TRD) Vaernes, Trondheim, Norway|1459|TRD|204e736f-efc6-4e61-97c8-1e2bf5626562|63.458000|10.940000
3229|(DKR) Léopold Sédar Senghor International Airport|1908|DKR|c10b56bb-302d-4308-b85b-6b839475aac2|14.744208|-17.491458
3250|Greenville, SC, United States of America (GSP-Greenville-Spartanburg Intl.)|2971|GSP||0.000000|0.000000
3251|Alexandria, Egypt (HBE-Borg El Arab)|2972|HBE||0.000000|0.000000
3252|Gulfport, MS, United States of America (GPT-Gulfport - Biloxi Intl.)|2973|GPT||0.000000|0.000000
3253|Vineyard Haven, MA, United States of America (MVY-Martha's Vineyard)|2974|MVY||0.000000|0.000000
3254|Monterey, CA, United States of America (MRY-Monterey Peninsula)|2975|MRY||0.000000|0.000000
3255|Puerto del Rosario, Spain (FUE-Fuerteventura)|2976|FUE||0.000000|0.000000
3256|Steamboat Springs, CO, United States of America (HDN-Yampa Valley)|2977|HDN||0.000000|0.000000
1709|(AEX) Alexandria International, Alexandria, LA, United States|2307|AEX|ad9dc2de-fa40-419b-9db7-2b37d9672c1e|31.327000|-92.548000
71|(ANR) Antwerp International, Antwerp, Belgium|63|ANR|243da6e3-5729-4ce3-a541-b69fa2dd5c00|51.190000|4.463000
3150|(ANU) V.C. Bird International, St. John's, Antigua|2851|ANU|504179ed-da8a-465e-b53e-48d8eb90c2b5|17.141795|-61.790564
922|(GOA) Cristoforo Colombo, Genoa, Italy|508|GOA|18e1a212-9ee5-4f19-8a00-fa3ac26ef6de|44.412000|8.842000
3102|(GOJ) Nizhniy Novgorod International, Nizhniy Novgorod, Russia|2827|GOJ|576c23c3-4580-490c-9f63-4ae61de172e2|56.225878|43.784294
2336|(GTF) Great Falls International, Great Falls, MT, United States|2470|GTF|b5570a78-22c1-4f2f-bb08-a99b36baa773|47.482000|-111.371000
2014|(PSA) Galileo Galilei, Pisa, Italy|1163|PSA|18e1a212-9ee5-4f19-8a00-fa3ac26ef6de|43.684000|10.393000
1214|(NCE) Cote d'Azur, Nice, France|986|NCE|4e9cea11-b383-442b-8363-38b95162a531|43.661000|7.218000
1898|(RAR) Rarotonga International, Rarotonga, Cook Islands|2157|RAR|456f848d-3a2f-404d-9c3f-60b80a8a1aa1|-21.203000|-159.806000
2086|(REC) Guararapes International, Recife, Brazil|1218|REC|d460867d-9615-42cf-9726-c9559fdd4bbc|-8.126000|-34.923000
1363|(PHC) Port Harcourt International, Port Harcourt, Nigeria|1112|PHC|bc2ab8a8-f077-4edc-ab00-f49af5e15e26|5.015000|6.949000
1475|(MVT) Mataiva, French Polynesia|2087|MVT|792b413f-59cd-491c-ac36-eca26ed69023|-14.868000|-148.717000
2699|(BJF) Batsfjord, Norway|181|BJF|204e736f-efc6-4e61-97c8-1e2bf5626562|70.600000|29.692000
361|(CCJ) Calicut International, Kozhikode, India|257|CCJ|8f4c1b35-16a3-49f1-b746-91dfd4d03c23|11.136000|75.955000
1202|(KLZ) Kleinzee, South Africa|721|KLZ|cbcc7419-1f9e-4ae8-aec9-dc8a03473ce2|-29.688000|17.094000
9|(YYE) Fort Nelson, BC, Canada|1784|YYE|d510f4be-ef3d-4ec0-bd0a-a95d68dd9e2b|58.836000|-122.597000
3257|Akron, OH, United States of America (CAK-Akron-Canton)|2978|CAK||0.000000|0.000000
3258|Stillwater, OK, United States of America (SWO-Stillwater Regional)|2979|SWO||0.000000|0.000000
3259|Las Palmas, Spain (LPA-Gran Canaria)|2980|LPA||0.000000|0.000000
3260|Jacksonville, NC, United States of America (OAJ-Albert J. Ellis)|2981|OAJ||0.000000|0.000000
3261|Nanded, India (NDC)|2982|NDC||0.000000|0.000000
3262|Lublin, Poland (LUZ)|2983|LUZ||0.000000|0.000000
3263|Cayenne, French Guiana (CAY-Rochambeau)|2984|CAY||0.000000|0.000000
3264|Jamestown, St. Helena (HLE)|2985|HLE||0.000000|0.000000
3265|Dubai, United Arab Emirates (DWC-Al Maktoum Intl.)|2986|DWC||0.000000|0.000000
3266|Rutland, VT, United States of America (RUT-Rutland Southern Vermont Regional)|2988|RUT||0.000000|0.000000
3267|Punta Gorda, FL, United States of America (PGD-Charlotte County)|2989|PGD||0.000000|0.000000
3268|Fargo, ND, United States of America (FAR-Hector Intl.)|2990|FAR||0.000000|0.000000
2442|(RMQ) Taichung, Taiwan|1495|RMQ|90d46891-7678-4da9-a7dd-4e24098a8a87|24.186000|120.654000
369|(CFU) Ioannis Kapodistrias, Corfu, Greece|276|CFU|f8cdf1c8-045d-43ef-ad42-8d27b9b0fb46|39.602000|19.912000
2894|(MDI) Makurdi, Nigeria|888|MDI|bc2ab8a8-f077-4edc-ab00-f49af5e15e26|7.704000|8.614000
1785|(RBM) Straubing - Wallmuhle, Straubing, Germany|2678|RBM|87c84b3d-8bc0-4b37-8d48-897835db7e8c|34.850000|-92.300000
2383|(SFA) Thyna, Sfax, Tunisia|1288|SFA|1fff0db4-0b86-46c7-b4bc-c523fa899ee1|34.718000|10.691000
1286|(ULA) Capitan Jose Daniel Vazquez, San Julian, Argentina|1510|ULA|9322a700-2052-4584-9133-b772cb7dfcdb|-49.307000|-67.802000
2044|(VFA) Victoria Falls, Zimbabwe|2262|VFA|d4adb9fa-3c65-459a-bd80-82a9b2dedbbe|-18.096000|25.839000
2721|(ENE) Ende, Indonesia|425|ENE|e8d59809-8738-469c-bec9-9b62403c452f|-8.849000|121.662000
1519|(PAZ) El Tajin National, Poza Rica, Veracruz, Mexico|1085|PAZ|347287e0-1b8b-4f80-be4a-6c08d4e925bc|20.603000|-97.461000
849|(MYJ) Matsuyama, Japan|970|MYJ|f6d9dab4-cb6c-4b5e-b8f1-fb0da0b818ab|33.827000|132.700000
2211|(ADM) Ardmore Municipal, Ardmore, OK, United States|2304|ADM|311533ec-3dad-40e9-bc04-a2ab505ca2a2|34.303000|-97.019000
2224|(SLC) Salt Lake City International, Salt Lake City, UT, United States|2713|SLC|41cb75c0-e7a1-45a5-8fe5-7fb672b0aaf9|40.788000|-111.978000
469|(BRU) Brussels Airport, Brussels, Belgium|215|BRU|243da6e3-5729-4ce3-a541-b69fa2dd5c00|50.902000|4.499000
514|(CNS) Cairns International, Cairns, QLD, Australia|314|CNS|39845157-b2a1-4f81-a515-92d6d1c8f0d6|-16.886000|145.755000
2237|(BSB) Brasilia Intl. - President Juscelino Kubitschek, Brasilia, Brazil|218|BSB|d460867d-9615-42cf-9726-c9559fdd4bbc|-15.862000|-47.913000
302|(ICT) Mid-Continent, Wichita, KS, United States|2507|ICT|53efe55b-2d48-4080-90d5-eee9ba571cb0|37.650000|-97.433000
1611|(MKK) Molokai, Hoolehua, HI, United States|2574|MKK|17585800-26f8-4354-a4d4-7a7a88a5d3ac|21.153000|-157.096000
1052|(JAV) Ilulissat, Jakobshavn, Greenland|1977|JAV|bca0db06-2e29-41f7-a6b8-d4c481551372|69.233000|-51.067000
879|(VHM) Vilhelmina, Sweden|1549|VHM|9b6162b6-2afb-4ece-8dae-bcf7283ab695|64.579000|16.833000
622|(EMN) Nema, Mauritania|1918|EMN|d490af9a-f748-4764-b701-5da85d5c9cad|16.622000|-7.314000
1834|(MKL) McKellar-Sipes Regional, Jackson, TN, United States|2575|MKL|37a6306e-1995-4d3e-8555-29cf5aee0156|35.600000|-88.916000
1145|(KCH) Kuching International, Kuching, Malaysia|690|KCH|1073e688-685d-49e9-9465-160967b566fa|1.485000|110.346000
1104|(KEF) Keflavik International, Reykjavik, Iceland|1989|KEF|b5eef731-2046-4c7d-bdc0-acb465e8a1df|63.985000|-22.606000
2724|(YZT) Port Hardy, BC, Canada|1805|YZT|d510f4be-ef3d-4ec0-bd0a-a95d68dd9e2b|50.681000|-127.367000
429|(CYS) Cheyenne Regional, Cheyenne, WY, United States|2392|CYS|6d111db1-43ea-4163-b44e-760966cde028|41.156000|-104.812000
1715|(NLK) Norfolk Island, Norfolk Island|999|NLK|925235df-d8bc-4a73-9b8a-9a4e15e543a8|-29.041000|167.939000
2292|(OCC) Francisco de Orellana, Coca, Ecuador|1035|OCC|2f1e8cab-e5e0-493a-8e51-57791db69f53|-0.463000|-76.986000
1498|(YAP) Yap International, Yap, Federated States of Micronesia|2287|YAP|2a1bfa4f-c6e5-46e3-824d-262b98098ba8|9.499000|138.082000
